id,title,link,author,publication_date,source,verdict,rating,price
1,Volvo EX30 review,https://www.autoexpress.co.uk/volvo/ex30,"Alex Ingram, Sam Naylor",2025-07-11,Auto Express,"The Volvo EX30 has impressed us on numerous occasions. It’s a very effective small EV that is good to drive, has a minimalist interior that feels special, features plenty of standard safety features and equipment, delivers eye-opening performance coupled with a competitive electric driving range, and yet manages this all at a reasonable asking price.",4.5,33050
2,New Mercedes-AMG GT 63 S E Performance review: should be fun… but isn’t,https://www.autoexpress.co.uk/mercedes/amg-gt/362906/new-mercedes-amg-gt-63-s-e-performance-review-should-be-funbut-isnt,Jordan Katsianis,2025-07-01,Auto Express,"Mercedes-AMG has rarely held back in the pursuit of power, and in its hybrid age none are more potent than the AMG GT 63 S E Performance. This is a wickedly fast car, and knocks on the door of hypercar-levels of straight-line speed. But the means by which the flagship GT’s performance has been achieved results in a finished product that’s hard to engage with, even if it is still mightily impressive.",3.5,10200
3,New Bentley Continental GTC Azure 2025 review: PHEV power suits luxury convertible,https://www.autoexpress.co.uk/bentley/continental-gt/367152/new-bentley-continental-gtc-azure-2025-review-phev-power-suits-luxury,Alastair Crooks,2025-06-23,Auto Express,"The new plug-in hybrid V8 that Bentley is rolling out across the model range feels extremely well-matched to the drop-top Bentley Continental GTC. The engine is flexible and will excite on an open road, while giving you the rich background sound you expect of a Bentley convertible. Couple this with the extra refinement of pure-electric running around town, and the GTC’s driving experience provides more layers than ever.",4.5,87995
4,Hyundai Santa Fe vs Volkswagen Tayron: which SUV is best for a big family?,https://www.autoexpress.co.uk/car-group-tests/367026/hyundai-santa-fe-vs-volkswagen-tayron-which-suv-best-big-family,Alex Ingram,2025-06-07,Auto Express,"It’s a very closely fought contest, but the Volkswagen Tayron scrapes a narrow win. That’s because of this pair, it’s the car that will be easier to live with every day. A large part of that comes down to the way that it drives. It doesn’t seem bulky like its rival; indeed, the VW feels barely any more substantial than the smaller five-seat Tiguan upon which it’s based.",,10200
5,Mercedes Citan van review,https://www.autoexpress.co.uk/mercedes/citan,Sam Naylor,2025-05-23,Auto Express,"Mercedes’ smallest commercial offering comes with plenty of kit as standard, including the three-pointed star’s excellent MBUX infotainment system. It’s a decent all-rounder and the electric eCitan could be a good choice for some. Elsewhere, there are only two diesel engine options so the range isn’t all that wide.",4.0,10200
6,New BMW M235 2025 review: is it a proper M car?,https://www.autoexpress.co.uk/bmw/2-series/365150/bmw-m235-review,Tom Jervis,2025-05-23,Auto Express,"For this mid-life update, BMW has focused on making the M235 more engaging to drive and despite a decrease in power, it has succeeded… to an extent. Over and above the standard 2 Series, most of the thrills on offer here come in the form of brisk acceleration, while the handling is competent rather than playful. Better looking than before and with a plush high-tech interior, the hot 2 Series saloon is more desirable than ever, but still can’t match rivals (or other cars wearing the M badge) dynamically.",3.5,17790
7,Smart #5 review,https://www.autoexpress.co.uk/smart/5,Ellis Hyde,2025-05-23,Auto Express,"The Smart #5 encapsulates the phrase ‘go big or go home’. We were astounded by how well it handles, while still being comfortable, as well as by the vast amount of space inside, some of the technology onboard and the overall quality, especially for the proposed price. All-in-all, it’s a real threat to the Tesla Model Y. However, what’s holding this big, bold SUV back is the woefully inefficient powertrain that resulted in a disappointing real-world range and will make it more expensive to run than rivals.",4.0,10200
8,Volvo EX30 vs Abarth 600e: which small electric SUV is top dog?,https://www.autoexpress.co.uk/car-group-tests/366908/volvo-ex30-vs-abarth-600e-which-small-electric-suv-top-dog,Alex Ingram,2025-05-24,Auto Express,"The Volvo EX30 isn’t quite as fun to drive as its rival here, but it outclasses it in virtually every other area, so it will have a much wider appeal.",,10200
9,"Used Subaru Forester (Mk5, 2019-2024) buyer’s guide: great off road, less good on it",https://www.autoexpress.co.uk/subaru/forester/366912/used-subaru-forester-mk5-2019-2024-buyers-guide-great-road-less-good-it,Richard Dredge,2025-05-26,Auto Express,"In a very competitive segment, the Subaru Forester struggles to challenge. That’s not to say it’s a lost cause though, because this is a car that’s genuinely good off road, crammed with safety kit (and equipment in general), plus it’s pretty well put together. But Subaru didn’t put enough effort into honing the Forester’s on-road prowess, and the lack of powertrain options further limits its appeal. Now that the fifth-generation Forester is available only as a used buy, high running costs have become apparent, in part because the e-Boxer hybrid set-up isn’t as frugal as Subaru claimed.",,21106
10,Temu Apple CarPlay adaptor review,https://www.autoexpress.co.uk/product-reviews/366901/temu-apple-carplay-adaptor-review,,2025-05-26,Auto Express,,4.5,19690
